User,PostalCode,Country,Latitude,Longitude,distanceToHdV
1,J2T4B7,Canada,45.613837,-72.959814,47409.125699775876
2,J2S7V9,Canada,45.623583,-72.962706,46912.30185570192
3,J2H2T9,Canada,45.382348,-72.733789,58777.477399697804
4,J2X3C5,Canada,45.30354,-73.24116,87204.85881279681
5,J2S6Z5,Canada,45.600663,-72.976692,49354.3455623638
6,J2B5Y8,Canada,45.866007,-72.494418,1815.4899557599556
7,J2B5Y8,Canada,45.866007,-72.494418,1815.4899557599556
8,J2R1R1,Canada,45.637956,-72.92187,43424.618256666916
9,J2H1W4,Canada,45.409243,-72.711862,55389.72337159971
10,J2S0K2,Canada,45.622458,-72.955891,46571.45686973311
11,J2T4M3,Canada,45.63999,-72.933022,43967.12840410959
12,J2L0H1,Canada,45.279153,-72.785313,70952.17731066186
13,J2T1J2,Canada,45.633475,-72.929143,44178.283309091436
14,J2K0M5,Canada,45.188608,-72.755522,79892.48781151044
15,J2T4H2,Canada,45.624855,-72.935785,45183.67866839192
16,J2E1A5,Canada,45.901384,-72.531527,4336.104759932248
17,J2S8R9,Canada,45.595348,-72.976623,49727.39339553325
18,J2E1K2,Canada,45.906972,-72.541124,5298.101622694679
19,J2R1C7,Canada,45.646721,-72.990139,47141.205991995186
20,J2S0N2,Canada,45.63818,-72.97214,46529.99650106498
21,J2R1A4,Canada,45.646968,-73.003911,48021.3607147773
22,J2T3B2,Canada,45.61789,-72.922008,44861.256546271696
23,J2S2R7,Canada,45.620614,-72.957257,46782.20667290896
24,J2S1K2,Canada,45.632462,-72.960445,46172.78483959967
25,J2T0E6,Canada,45.62305,-72.915724,44115.60777268229
26,J2T3N2,Canada,45.619008,-72.936012,45611.666625929945
27,J2S4K3,Canada,45.632141,-72.950503,45578.22336309455
28,J2S1W6,Canada,45.630147,-72.956759,46099.774690918
29,J2S8A9,Canada,45.633645,-72.96968,46671.39611434567
30,J2R1C1,Canada,45.649587,-72.99216,47096.256175256756
31,J2R1R5,Canada,45.639886,-72.920452,43204.38545889162
32,J2R1E2,Canada,45.647369,-72.998611,47651.45951734551
33,J2T0A5,Canada,45.612425,-72.933279,45923.15375412722
34,J2X5E5,Canada,45.303887,-73.225567,86359.32172927477
35,J2S0N4,Canada,45.63818,-72.97214,46529.99650106498
36,J2R1B2,Canada,45.650564,-72.989372,46855.215888068255
37,J2S1H5,Canada,45.6351,-72.975543,46945.19437973134
38,J2R1B6,Canada,45.643714,-72.993787,47563.31235740532
39,J2R1E2,Canada,45.647369,-72.998611,47651.45951734551
40,J2S8V8,Canada,45.641164,-72.946803,44742.1906097124
41,J2S4Y2,Canada,45.631846,-72.955171,45886.770820379905
42,J2T5A8,Canada,45.640209,-72.925241,43474.475897546894
43,J2S7H3,Canada,45.631,-72.962497,46398.26597580284
44,J2S7X3,Canada,45.642226,-72.955742,45231.83523417456
45,J2T4Z9,Canada,45.619538,-72.938404,45717.140568365765
46,J2R1K7,Canada,45.654552,-72.934463,43085.650882220405
47,J2H0X6,Canada,45.428981,-72.7425,54150.62672354809
48,J2T1B5,Canada,45.63199,-72.937627,44798.0007861481
49,J2R1C7,Canada,45.646721,-72.990139,47141.205991995186
50,J2T2G3,Canada,45.623217,-72.931817,45060.94651395309
51,J2T1M5,Canada,45.62724,-72.93725,45104.97226146319
52,J2W2C2,Canada,45.370954,-73.256496,82672.5319092364
53,J2R1H9,Canada,45.638699,-73.032556,50394.34451621107
54,J2H2T9,Canada,45.382348,-72.733789,58777.477399697804
55,J2R1B3,Canada,45.650256,-72.988979,46848.51695661201
56,J2J2L3,Canada,45.420415,-72.746038,55138.904010312835
57,J2T0E4,Canada,45.626031,-72.911942,43676.033330016275
